vehicle_id,location_id,model_id
1C4JJXP60M,1,1
1C4JJXP60M,2,2
1C4JJXP60N,3,3
1C4JJXP60N,4,4
1C4JJXP60N,5,5
1C4JJXP60N,6,6
1C4JJXR60N,7,7
1C4JJXR60N,8,8
1FADP3R40D,9,9
1FADP3R40D,10,10
1FADP3R40D,11,11
1FADP3R40D,12,12
1FADP5CU0D,13,13
1FADP5CU0D,14,14
1FADP5EU0H,15,15
1FMCU0EZ0M,16,16
1FMCU0EZ0N,17,17
1FMCU0EZ0N,18,18
1FMCU0EZ0N,19,19
1FMCU0EZ0N,20,20
1FTZR0812X,21,21
1FTZR0812X,22,22
1FTZR0819X,23,23
1FTZR0819Y,24,24
1FADP5CU0E,25,25
1FADP5EU8H,26,26
1G1FW6S00H,27,27
1G1RA6E40C,28,28
1G1RA6E40C,29,29
1G1RA6E40C,30,30
1G6RL1E41G,31,31
2C4RC1H71K,32,32
5YJXCAE20K,33,33
7JRBK0FP0M,34,34
7JRH60FD0N,35,35
JA3215H10C,36,36
JF2GTDNC0K,37,37
JHMCR5F70E,38,38
JN1AZ0CP0B,39,39
JTDKAMFP0M,40,40
JTDKN3DPXC,41,41
JTDKARFP8H,42,42
JTJHKCFZ1N,43,43
JTMAB3FV0M,44,44
KL8CK6S00E,45,45
KM8JBDA20N,46,46
KM8S6DA20N,47,47
KMHC65LD0K,48,48
KMHE14L20H,49,49
KNAGV4LD0H,50,50
KNDCM3LDXN,51,51
KNDJP3AE0G,52,52
LPSED3KA0M,53,53
LREKK5RX0J,54,54
LVYBC0AL0J,55,55
LYVBR0DK0J,56,56
SADHB2S10L,57,57
SALGS4RY0L,58,58
W1N0G5DB0L,59,59
SCBBR6ZG0N,60,60
WA11AAGE0M,61,61
WA1AAAGEXM,62,62
WBA7J2C32H,63,63
WBY1Z2C50E,64,64
WMEEJ9AA0D,65,65
WMZYU7C40J,66,66
WP0AC2Y10L,67,67
WVWKP7AU0F,68,68
YH4K10BA2C,69,69
